stockcode,year,roc,ey,EBIT,EV
564,2021,14.98,0.22376558856331746,22070000.0,98630000.0
564,TTM,13.74,0.17605336485687748,20850000.0,118430000.0
566,2014,5.18,0.03303038171903402,6360000.0,192550000.0
566,2015,4.86,-0.02707749766573296,-2320000.0,85680000.0
566,2016,2.04,0.04482132041187159,2960000.0,66040000.00000001
566,2017,-8.87,-0.06304208159331834,-7850000.0,124520000.0
566,2018,-1.38,-0.026435810810810808,-3130000.0,118400000.0
566,2019,-3.49,-0.047215611613517366,-4960000.0,105050000.0
566,2020,-10.86,-0.062322082147214325,-6130000.0,98360000.0
566,TTM,-11.39,0.02,1470000.0,73500000.0
569,2015,10.9,0.16378964271376958,4080000.0,24910000.0
569,2016,9.32,0.11669203450025367,4600000.0,39420000.0
569,2017,5.46,0.0835635359116022,3630000.0,43440000.0
569,2018,6.13,-0.006665336260227499,-334000.0,50110000.0
569,2019,7.14,0.02082942830365511,889000.0,42680000.0
569,2020,7.88,0.0375882946518668,2980000.0,79280000.0
569,2021,13.76,0.048751180156209765,5680000.0,116510000.0
569,TTM,13.76,0.07975888879182319,9130000.0,114470000.0
570,2014,25.03,0.16470588235294115,5740000.0,34850000.0
570,2015,23.13,0.14783450278248245,6110000.0,41330000.0
570,2016,7.95,0.03037120359955005,1350000.0,44450000.0
570,2017,-24.27,-0.02034987504462692,-570000.0,28010000.0
570,2018,-22.6,-0.20527306967984932,-2180000.0,10620000.0
570,2019,-14.8,-0.21158536585365853,-607250.0,2870000.0
570,2020,-12.19,-0.31533477321814257,-1460000.0,4630000.0
570,TTM,-2.06,-0.0027653846153846157,-7190.0,2600000.0
573,2015,25.65,0.2096807844773628,20100000.0,95860000.0
573,2016,15.85,0.13135663408977968,15860000.0,120740000.0
573,2017,19.03,0.20146067415730334,17930000.0,89000000.0
573,2018,21.85,0.23082343466881414,22930000.0,99340000.0
573,2019,17.02,0.1538042208550736,19750000.0,128410000.0
573,2020,18.51,0.21332655137334688,20970000.0,98300000.0
573,2021,11.48,0.11554501006614898,16070000.0,139080000.0
573,TTM,11.48,0.11518550474547025,16020000.0,139080000.0
575,2014,3.37,0.02357825868142929,937000.0,39740000.0
575,2015,-26.85,-1.4962805526036131,-14080000.0,9410000.0
575,2016,1.57,-0.24547390841320554,-4610000.0,18780000.0
575,2017,-16.92,-0.2093073593073593,-9670000.0,46200000.0
575,2018,-26.91,-2.6538461538461537,-21390000.0,8060000.000000001
575,2019,9.51,-0.14055636896046853,-1920000.0,13660000.0
575,2020,2.7,0.17386363636363636,-1530000.0,-8800000.0
575,TTM,2.4,0.07307692307692308,-760000.0,-10400000.0
579,2018,45.9,-0.1232824427480916,-9690000.0,78600000.0
579,2019,-16.8,-0.067356866658351,-5400000.0,80170000.0
579,2020,24.6,0.0053816268839473325,3560000.0,661510000.0
596,2014,-0.36,0.13676588897827835,-1700000.0,-12430000.0
596,2015,-5.02,0.18538884524744695,-2360000.0,-12730000.0
596,2016,2.18,-0.2467320261437909,-1510000.0,6120000.0
596,2017,-4.05,0.017808904452226115,356000.0,19990000.0
596,2018,-30.23,3.0359875598558523,-2460000.0,-810280.0
596,2019,1.05,-0.6981402002861229,-4880000.0,6990000.0
596,2020,-13.31,-0.4726651480637814,-4150000.0000000005,8780000.0
596,TTM,-20.22,-0.2677935943060498,-3010000.0,11240000.0
5AB,2014,4.96,0.022256863254524983,2570000.0,115470000.0
5AB,2015,-17.61,-0.10481283422459893,-8820000.0,84150000.0
5AB,2016,14.67,0.28932659036465264,10870000.0,37570000.0
5AB,2017,17.01,0.380641925777332,15180000.0,39880000.0
5AB,2018,-7.96,0.6624649859943977,-4730000.0,-7140000.0
5AB,2019,-3.21,0.15870069605568446,-3420000.0,-21550000.0
5AB,2020,-3.26,0.6343490304709142,-4580000.0,-7220000.0
5AB,TTM,0.74,0.2806589383770592,-4600000.0,-16390000.0
5AU,2014,10.21,-535.2422907488987,4860000.0,-9080.0
5AU,2015,8.6,0.21471571906354514,3210000.0,14950000.0
5AU,2016,6.52,-2.6171875,3350000.0,-1280000.0
5AU,2017,4.45,0.14329268292682926,1410000.0,9840000.0
5AU,2018,3.52,-0.6931818181818182,1220000.0,-1760000.0
5AU,2019,3.88,0.3104212860310421,1400000.0,4510000.0
5AU,2020,3.28,0.38,627000.0,1650000.0
5AU,TTM,3.76,0.286144578313253,1900000.0,6640000.0
5CF,2015,6.8,0.3517460317460317,5540000.0,15750000.0
5CF,2016,12.87,0.6432160804020101,11520000.0,17910000.0
5CF,2017,10.26,0.5602636534839924,11900000.0,21240000.0
5CF,2018,4.73,0.5726962457337884,8390000.0,14650000.0
5CF,2019,-0.25,0.031903450679679334,915310.0,28690000.0
5CF,2020,2.24,-0.403869407496977,-3340000.0,8270000.0
5CF,2021,1.04,-0.047439047439047435,-2510000.0,52910000.0
5CF,TTM,1.04,-0.048371555212950466,-2510000.0,51890000.0
5CF,2015,6.8,0.3517460317460317,5540000.0,15750000.0
5CF,2016,12.87,0.6432160804020101,11520000.0,17910000.0
5CF,2017,10.26,0.5602636534839924,11900000.0,21240000.0
5CF,2018,4.73,0.5726962457337884,8390000.0,14650000.0
5CF,2019,-0.25,0.031903450679679334,915310.0,28690000.0
5CF,2020,2.24,-0.403869407496977,-3340000.0,8270000.0
5CF,2021,1.04,-0.047439047439047435,-2510000.0,52910000.0
5CF,TTM,1.04,-0.048371555212950466,-2510000.0,51890000.0
5DD,2015,27.32,0.20014127619496114,17000000.0,84940000.0
5DD,2016,24.47,0.2155667969648195,18750000.0,86980000.0
5DD,2017,28.11,0.15110573846263245,21250000.0,140630000.0
5DD,2018,29.46,0.1070481325275012,24620000.0,229990000.0
5DD,2019,21.42,0.09989405176328137,19800000.0,198210000.0
5DD,2020,24.79,0.09751859936739876,21890000.0,224470000.0
5DD,2021,30.56,0.0637540297358418,26500000.0,415660000.0
5DD,TTM,32.16,0.06611589535345049,28330000.0,428490000.0
5DD,2015,27.32,0.20014127619496114,17000000.0,84940000.0
5DD,2016,24.47,0.2155667969648195,18750000.0,86980000.0
5DD,2017,28.11,0.15110573846263245,21250000.0,140630000.0
5DD,2018,29.46,0.1070481325275012,24620000.0,229990000.0
5DD,2019,21.42,0.09989405176328137,19800000.0,198210000.0
5DD,2020,24.79,0.09751859936739876,21890000.0,224470000.0
5DD,2021,30.56,0.0637540297358418,26500000.0,415660000.0
5DD,TTM,32.16,0.06611589535345049,28330000.0,428490000.0
5DO,2014,3.41,0.09770056208482372,9560000.0,97850000.0
5DO,2015,-8.22,0.034840363551619666,2990000.0,85820000.0
5DO,2016,-29.47,-0.14253265190232822,-12550000.0,88050000.0
5DO,2018,8.78,0.1479424747259006,10390000.0,70230000.0
5DO,2019,-40.14,0.09679866484600212,6380000.0,65910000.0
5DO,2020,-1.37,-0.06591889559965487,-3820000.0,57950000.0
5DO,2021,3.64,-0.02477477477477477,-1540000.0,62160000.0
5DO,TTM,2.73,-0.03435452452629715,-1940000.0,56470000.0
5DP,2015,1.03,-0.028777414273597483,-14250000.0,495180000.0
5DP,2016,2.41,0.04591184347028879,19030000.0,414490000.0
5DP,2017,11.74,0.007525655644241733,3630000.0,482350000.0
5DP,2018,2.66,0.009688023860840791,4450000.0,459330000.0
5DP,2019,1.68,0.01980061640179755,11500000.0,580790000.0
5DP,2020,-0.74,-0.042940442258611385,-23050000.0,536790000.0
5DP,2021,2.17,0.01833217461304841,10020000.0,546580000.0
5DP,TTM,2.17,-0.006601639283462523,-3560000.0,539260000.0
5DP,2015,1.03,-0.028777414273597483,-14250000.0,495180000.0
5DP,2016,2.41,0.04591184347028879,19030000.0,414490000.0
5DP,2017,11.74,0.007525655644241733,3630000.0,482350000.0
5DP,2018,2.66,0.009688023860840791,4450000.0,459330000.0
5DP,2019,1.68,0.01980061640179755,11500000.0,580790000.0
5DP,2020,-0.74,-0.042940442258611385,-23050000.0,536790000.0
5DP,2021,2.17,0.01833217461304841,10020000.0,546580000.0
5DP,TTM,2.17,-0.006601639283462523,-3560000.0,539260000.0
5GI,2014,-14.41,0.051331719128329296,3180000.0,61950000.0
5GI,2015,-95.46,-0.9478032294404808,-25240000.0,26630000.0
5GI,2016,-30.52,-0.04723346828609987,-1400000.0,29640000.0
5GI,2017,6.09,0.04645300684191574,1290000.0,27770000.0
5GI,2018,3.53,0.2357194504699928,3260000.0,13830000.0
5GI,2019,-1.78,0.04870067372473532,2530000.0,51950000.0
5GI,2020,-4.41,-0.06924493554327807,-1880000.0,27150000.0
5GI,TTM,-2.41,-0.060526315789473685,-1610000.0,26600000.0
5GJ,2015,2.03,0.15828596414516835,43440000.0,274440000.0
5GJ,2016,-895.35,-0.18664400194269065,-38430000.0,205900000.0
5GJ,2017,4.28,0.18663145318493365,29680000.0,159030000.0
5GJ,2018,13.16,0.312898033452306,44710000.0,142890000.0
5GJ,2019,1.22,0.06586976510908635,7880000.0,119630000.0
5GJ,2020,-43.9,-0.004734885991214003,-679030.0,143410000.0
5GJ,2021,1.06,0.055706170926930025,8630000.0,154920000.0
5GJ,TTM,0.5,0.1295299316994777,16120000.000000002,124450000.0
5IC,2015,6.13,0.1313118497843187,31050000.0,236460000.0
5IC,2016,7.58,0.1542179103401017,42760000.0,277270000.0
5IC,2017,0.59,0.034401834764520765,12900000.0,374980000.0
5IC,2018,2.13,0.08238115859955361,24730000.0,300190000.0
5IC,2019,11.11,0.34026205411825844,91670000.0,269410000.0
5IC,2020,5.17,0.1494354154428562,45790000.0,306420000.0
5IC,2021,2.13,0.038229895171200144,25200000.0,659170000.0
5IC,TTM,2.13,0.03840769371233794,25240000.0,657160000.0
5JK,2014,39.39,0.01010225729326853,9000000.0,890890000.0
5JK,2015,-0.75,0.017327056361972015,13250000.0,764700000.0
5JK,2016,5.87,0.010844721101006665,6690000.0,616890000.0
5JK,2017,9.74,0.057754146094442335,45620000.0,789900000.0
5JK,2018,-1.02,0.03396528634823937,25870000.0,761660000.0
5JK,2019,2.26,0.0033849726978479482,2740000.0,809460000.0
5JK,2020,-3.91,-0.029492636755413373,-22310000.0,756460000.0
5JK,TTM,-0.78,-0.02739827373612824,-22220000.0,811000000.0
5JK,2014,39.39,0.01010225729326853,9000000.0,890890000.0
5JK,2015,-0.75,0.017327056361972015,13250000.0,764700000.0
5JK,2016,5.87,0.010844721101006665,6690000.0,616890000.0
5JK,2017,9.74,0.057754146094442335,45620000.0,789900000.0
5JK,2018,-1.02,0.03396528634823937,25870000.0,761660000.0
5JK,2019,2.26,0.0033849726978479482,2740000.0,809460000.0
5JK,2020,-3.91,-0.029492636755413373,-22310000.0,756460000.0
5JK,TTM,-0.78,-0.02739827373612824,-22220000.0,811000000.0
5KI,2014,6.97,0.03688914242251379,1940000.0,52590000.0
5KI,2015,8.69,0.056258790436005617,2400000.0,42660000.0
5KI,2016,10.28,0.042629482071713146,2140000.0,50200000.0
5KI,2017,20.05,0.04910077076791322,1720000.0,35030000.0
5KI,2018,20.47,0.06208680655360736,2160000.0,34790000.0
5KI,2019,5.42,0.016072580645161292,757340.0,47120000.0
5KI,2020,5.44,-0.1368215794605135,-4210000.0,30770000.0
5KI,TTM,5.59,0.0771850170261067,2040000.0,26430000.0
5LY,2015,3.11,0.0570181714122192,15940000.0,279560000.0
5LY,2016,-6.0,0.002827317899926813,734000.0,259610000.0
5LY,2017,-449.1,-0.2965582810420232,-77980000.0,262950000.0
5LY,2019,-3.48,-0.0024363949978438984,-113000.0,46380000.0
5LY,2020,-8.82,-0.03931728131667174,-1290000.0,32810000.000000004
5LY,2021,13.54,0.0924558164072804,7010000.0,75820000.0
5LY,TTM,13.54,0.06489753021544929,4940000.0,76120000.0
5MZ,2014,18.48,0.14762516046213095,14950000.0,101270000.0
5MZ,2015,17.49,0.16545698924731184,12310000.0,74400000.0
5MZ,2016,9.78,0.17040661380124852,10100000.0,59270000.0
5MZ,2017,7.79,0.17342262953824464,9840000.0,56740000.0
5MZ,2018,6.04,0.14103942652329748,7870000.0,55800000.0
5MZ,2019,0.36,0.011934156378600824,783000.0,65610000.0
5MZ,2020,-8.08,-0.5325097529258777,-8189999.999999999,15380000.0
5MZ,TTM,-5.59,-0.24232804232804234,-4580000.0,18900000.0
5NF,2014,8.12,0.05550839156272448,17000000.0,306260000.0
5NF,2015,0.72,0.0017464706738466015,480000.0,274840000.0
5NF,2016,-11.21,-0.0387904468412943,-10070000.0,259600000.00000003
5NF,2017,-227.5,-0.1076113257205926,-25350000.0,235570000.0
5NF,2018,-35.64,-0.07113543091655268,-10400000.0,146200000.0
5NF,2019,-25.63,-0.061756889075395165,-8830000.0,142980000.0
5NF,2020,7.14,0.0084186773129665,970000.0,115220000.0
5NF,TTM,-6.45,-0.019700551615445237,-2250000.0,114210000.0
5NV,2014,3.33,0.013643321852277077,713000.0,52260000.0
5NV,2015,-2.04,-0.054497354497354496,-2060000.0,37800000.0
5NV,2016,3.64,0.10824742268041238,6300000.0,58200000.0
5NV,2017,7.82,0.11012706969580284,5720000.0,51940000.0
5NV,2018,7.07,0.12152166255723848,6900000.0,56780000.0
5NV,2019,-21.5,-0.21768507638072854,-14820000.0,68080000.0
5NV,2020,2.21,0.030801786973900774,2620000.0,85060000.0
5NV,TTM,2.71,0.05150779194495042,5090000.0,98820000.0
5PC,2015,1.78,-0.00129137590520079,-392320.0,303800000.0
5PC,2016,-1.86,-0.005647546966844673,-1470000.0,260290000.00000003
5PC,2017,5.65,0.01769790094663191,3870000.0,218670000.0
5PC,2018,1.88,-0.007983517898532062,-1550000.0,194150000.0
5PC,2019,0.1,-0.01649884177185269,-3490000.0,211530000.0
5PC,2020,-1.69,-0.007722616233254531,-1470000.0,190350000.0
5PC,2021,0.49,0.0023921691553630453,419730.0,175460000.0
5PC,TTM,0.49,0.002087599544937429,367000.0,175800000.0
5SO,2014,13.32,0.07511964816970637,23230000.0,309240000.0
5SO,2015,15.38,0.07988260405549627,29940000.0,374800000.0
5SO,2016,15.59,0.06442928461277085,24650000.0,382590000.0
5SO,2017,6.85,0.10165308498253783,21830000.0,214750000.0
5SO,2018,8.14,0.11318844492440605,16770000.0,148160000.0
5SO,2019,1.83,0.086266589728794,8970000.0,103980000.0
5SO,2020,-7.66,-0.1453118657827087,-10740000.0,73910000.0
5SO,TTM,-3.99,-0.059441366574330565,-5150000.0,86640000.0
5SR,2014,32.52,-0.008694282564183338,-2760000.0,317450000.0
5SR,2015,49.16,0.0014318961293483586,409150.0,285740000.0
5SR,2016,69.59,0.013059472716125077,2130000.0,163100000.0
5SR,2017,31.31,0.0006476856016052031,93610.0,144530000.0
5SR,2018,22.68,-0.04424022226971575,-2070000.0,46790000.0
5SR,2019,16.93,0.010931147103912551,1640000.0,150030000.0
5SR,2020,12.61,-0.010573618821041502,-1200000.0,113490000.0
5SR,TTM,3.96,-0.025288859821233918,-3480000.0,137610000.0
5TT,2015,30.6,0.25787680953732617,18170000.0,70460000.0
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0
5TT,2018,7.57,0.12066621346023115,21300000.0,176520000.0
5TT,2019,5.27,0.08989928057553957,15620000.0,173750000.0
5TT,2020,-6.39,0.0972313777191826,17700000.0,182040000.0
5TT,2021,-7.99,-0.09458594649942403,-14780000.0,156260000.0
5TT,TTM,-7.99,-0.07447714007782101,-12250000.0,164480000.0
5TT,2015,30.6,0.25787680953732617,18170000.0,70460000.0
5TT,2016,19.56,0.2137546468401487,23000000.0,107600000.0
5TT,2017,22.71,0.16672814459609,22600000.0,135550000.0
5TT,2018,7.57,0.12066621346023115,21300000.0,176520000.0
5TT,2019,5.27,0.08989928057553957,15620000.0,173750000.0
