Name,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022
^STI,3027.219970703125,3391.199951171875,2629.110107421875,3046.800048828125,3533.989990234375,3190.169921875,3153.72998046875,2902.52001953125,3249.590087890625
1B0.SI,,0.050000000745058,0.1774999946355819,0.5199999809265137,0.5099999904632568,0.324999988079071,0.2150000035762787,0.1012500002980232,0.0520000010728836
1F2.SI,,,,,0.2800000011920929,0.2549999952316284,0.2399999946355819,0.5299999713897705,0.7300000190734863
1F3.SI,,,,,0.2199999988079071,0.1560000032186508,0.0719999969005584,0.2399999946355819,0.0700000002980232
1R6.SI,,,,,,,,,0.3449999988079071
49B.SI,11.105685234069824,10.53125286102295,6.127274036407471,2.374319076538086,1.9147729873657229,0.6701700091362,0.6701700091362,0.3638060092926025,0.1469999998807907
500.SI,0.3350000083446502,0.3650000095367431,0.3000000119209289,0.3899999856948852,0.4149999916553497,0.3149999976158142,0.324999988079071,0.3050000071525574,0.3799999952316284
528.SI,0.4350000023841858,0.3849999904632568,0.2399999946355819,0.25,0.2549999952316284,0.2249999940395355,0.2450000047683715,0.25,0.2199999988079071
533.SI,0.7799999713897705,0.7300000190734863,0.7200000286102295,0.7099999785423279,0.8100000023841858,0.7549999952316284,0.7400000095367432,0.7049999833106995,0.4850000143051147
543.SI,0.270000010728836,0.2800000011920929,0.2899999916553497,0.2800000011920929,0.2399999946355819,0.2199999988079071,0.2450000047683715,0.2000000029802322,0.209999993443489
544.SI,0.6299999952316284,0.5849999785423279,0.4399999976158142,0.4600000083446502,0.3650000095367431,0.4300000071525574,0.5099999904632568,0.4799999892711639,0.4749999940395355
554.SI,0.2800000011920929,0.3149999976158142,0.1870000064373016,0.1729999929666519,0.1449999958276748,0.1330000013113021,0.0839999988675117,0.0439999997615814,0.0370000004768371
558.SI,0.3020800054073334,0.3296000063419342,0.323199987411499,0.3968000113964081,0.8560000061988831,0.5120000243186951,0.7559999823570251,1.0399999618530271,1.2000000476837158
564.SI,0.4350000023841858,0.574999988079071,0.6299999952316284,0.699999988079071,1.1399999856948853,0.8949999809265137,1.0499999523162842,0.9850000143051147,1.309999942779541
566.SI,0.3100000023841858,0.2549999952316284,0.2750000059604645,0.2249999940395355,0.2150000035762787,0.1940000057220459,0.1700000017881393,0.1609999984502792,0.1560000032186508
569.SI,0.0790000036358833,0.0700000002980232,0.1159999966621398,0.1049999967217445,0.1089999973773956,0.0839999988675117,0.1199999973177909,0.270000010728836,0.2199999988079071
570.SI,0.3600000143051147,0.4250000119209289,0.5450000166893005,0.6499999761581421,0.4650000035762787,0.2300000041723251,0.1049999967217445,0.0710000023245811,0.1389999985694885
573.SI,0.5699999928474426,0.4300000071525574,0.4000000059604645,0.4900000095367431,0.4399999976158142,0.5099999904632568,0.5249999761581421,0.4799999892711639,0.5699999928474426
575.SI,0.0610000006854534,0.0560000017285347,0.0359999984502792,0.0430000014603138,0.0850000008940696,0.0480000004172325,0.0439999997615814,0.0340000018477439,0.0280000008642673
579.SI,0.0209999997168779,0.0120000001043081,0.003000000026077,0.0080000003799796,0.0089999996125698,0.0040000001899898,0.0040000001899898,0.0549999997019767,0.0280000008642673
596.SI,0.1299999952316284,0.0850000008940696,0.0520000010728836,0.0480000004172325,0.0599999986588954,0.0350000001490116,0.0179999992251396,0.0189999993890523,0.0299999993294477
5AB.SI,0.2000000029802322,0.3650000095367431,0.2750000059604645,0.1860000044107437,0.270000010728836,0.1080000028014183,0.0780000016093254,0.1099999994039535,0.0879999995231628
5AU.SI,0.209999993443489,0.2000000029802322,0.2750000059604645,0.2450000047683715,0.2549999952316284,0.1909999996423721,0.1720000058412552,0.1689999997615814,0.1679999977350235
