Trading Name,Trading Code,RIC,Mkt Cap ($M),Sector
Travelite,BCZ,TRHL.SI,5.68,Retailers
PNE Industries,BDA,PNEI.SI,66.294,Industrial Goods
Excelpoint,BDF,EXCE.SI,181.203,Technology Equipment
Willas-Array,BDR,0854.HK,326.885,Technology Equipment
Federal Int,BDU,FEDL.SI,13.373,Energy - Fossil Fuels
GSH,BDX,GSHC.SI,347.958,Cyclical Consumer Services
BRC Asia,BEC,BRCA.SI,449.842,Cyclical Consumer Products
China Intl,BEH,CHNA.SI,19.956,Industrial & Commercial Services
LHT,BEI,LHTH.SI,35.142,Applied Resources
JB Foods,BEW,JBFO.SI,156.756,Food & Beverages
Beng Kuang,BEZ,BENK.SI,15.937,Industrial & Commercial Services
Tiong Seng,BFI,TISE.SI,59.751,Industrial & Commercial Services
Pharmesis Intl,BFK,PHAR.SI,2.79,Pharmaceuticals & Medical Research
Fabchem China,BFT,FBCH.SI,2.978,Chemicals
Tye Soon,BFU,TYES.SI,30.543,Automobiles & Auto Parts
China Mining,BHD,CMIL.SI,14.114,Real Estate
SIIC Environment,BHK,SIIC.SI,614.601,Utilities
SUTL Enterprise,BHU,SUTL.SI,39.584,Cyclical Consumer Services
Vibrant Group,BIP,VIBR.SI,64.212,Transportation
Ellipsiz,BIX,ELPZ.SI,53.628,Technology Equipment
VibroPower,BJD,VIBO.SI,4.785,Utilities
Shinvest,BJW,SHIN.SI,98.687,Industrial Goods
Koda,BJZ,KODA.SI,57.873,Cyclical Consumer Products
Sin Heng Mach,BKA,SIHM.SI,47.679,Industrial Goods
Luxking,BKK,LUKG.SI,3.396,Chemicals
Shenshan,BKV,CHIS.SI,20.636,Food & Beverages
Datapulse Tech,BKW,DATA.SI,19.352,Real Estate
Yongmao,BKX,YNMH.SI,63.532,Industrial Goods
Suntar Eco-City,BKZ,SECL.SI,9.797,Pharmaceuticals & Medical Research
Union Steel,BLA,UNIS.SI,22.249,Mineral Resources
Hai Leck,BLH,HLHL.SI,100.834,Energy - Fossil Fuels
Darco Water Tech,BLR,DRWT.SI,12.01,Utilities
Hotung Inv,BLS,HOTU.SI,219.815,Banking & Investment Services
GRP,BLU,GRPS.SI,14.528,Automobiles & Auto Parts
Global Palm Res,BLW,GPRL.SI,46.922,Food & Beverages
BHG Retail Reit,BMGU,BHGR.SI,289.534,Real Estate
Valuetronics,BN2,VLUE.SI,227.281,Technology Equipment
Keppel Corp,BN4,KPLM.SI,10286.151,Consumer Goods Conglomerates
Kencana Agri,BNE,KCAL.SI,47.084,Food & Beverages
Informatics,BOU,INFO.SI,3.724,Personal & Household Products & Services
YHI Intl,BPF,YHII.SI,143.225,Automobiles & Auto Parts
A-Smart,BQC,ASMA.SI,19.378,Industrial & Commercial Services
Envictus,BQD,ETIK.SI,31.017,Cyclical Consumer Services
XMH,BQF,XMHL.SI,10.306,Industrial Goods
Tiong Woon,BQM,TION.SI,109.151,Industrial Goods
BH Global,BQN,BHGC.SI,69,Industrial Goods
Southern Pkg,BQP,SOUT.SI,27.966,Applied Resources
Sapphire,BRD,SAPP.SI,27.151,Industrial & Commercial Services
USP Group,BRS,USPG.SI,5.092,Energy - Fossil Fuels
YZJ Shipbldg SGD,BS6,YAZG.SI,5097.042,Industrial Goods
Raffles Medical,BSL,RAFG.SI,2395.512,Healthcare Services
Bund Center,BTE,BCIL.SI,391.652,Real Estate
HG Metal,BTG,HGMM.SI,48.326,Mineral Resources
A-Sonic Aero,BTJ,ASON.SI,38.939,Transportation
Penguin Intl,BTM,PGUN.SI,133.203,Transportation
ManulifeReit USD,BTOU,MANU.SI,1131.43,Real Estate
Baker Technology,BTP,BATE.SI,81.151,Energy - Fossil Fuels
Anchun Intl,BTX,ANIH.SI,11.548,Industrial Goods
Frasers L&C Tr,BUOU,FRAE.SI,5049.993,Real Estate
Top Glove,BVA,TPGC.KL,17480.951,Healthcare Services
AIMS Property,BVP,APW.AX,53.747,Real Estate
Procurri,BVQ,PROC.SI,87.153,Software & IT Services
EC World Reit,BWCU,ECWO.SI,582.834,Real Estate
Zheneng Jinjiang,BWM,ZHEN.SI,643.315,Industrial & Commercial Services
CDW,BXE,CDWH.SI,67.696,Technology Equipment
Casa,C04,CASA.SI,20.983,Cyclical Consumer Products
Chemical Ind,C05,CHEM.SI,56.2,Chemicals
CSC,C06,CSCH.SI,50.237,Industrial & Commercial Services
Jardine C&C,C07,JCYC.SI,7973.171,Automobiles & Auto Parts
CityDev,C09,CTDM.SI,6410.574,Real Estate
CH Offshore,C13,CHOF.SI,33.649,Energy - Fossil Fuels
Chip Eng Seng,C29,CESE.SI,354.328,Real Estate
ParkwayLife Reit,C2PU,PWLR.SI,2897.959,Real Estate
Chuan Hup,C33,CHHS.SI,203.044,Real Estate
CapLand IntCom T,C38U,CMLT.SI,12820.72,Real Estate
Cortina,C41,CORT.SI,629.198,Retailers
